0,omu,opu,ocu
2022-04-01,6,4.0,2.0
2022-04-02,7,2.0,5.0
2022-04-03,4,3.0,1.0
2022-04-04,15,9.0,6.0
2022-04-05,7,4.0,3.0
2022-04-06,9,3.0,6.0
2022-04-07,9,2.0,7.0
2022-04-08,9,1.0,8.0
2022-04-09,7,3.0,4.0
2022-04-10,1,0.0,1.0
2022-04-11,17,6.0,11.0
2022-04-12,8,2.0,6.0
2022-04-13,7,2.0,5.0
2022-04-14,9,6.0,3.0
2022-04-15,3,2.0,1.0
2022-04-16,2,1.0,1.0
2022-04-17,3,3.0,0.0
2022-04-18,1,1.0,0.0
2022-04-19,2,0.0,2.0
2022-04-20,4,4.0,0.0
2022-04-21,3,2.0,1.0
2022-04-22,3,3.0,0.0
2022-04-23,6,5.0,1.0
2022-04-24,3,3.0,0.0
2022-04-25,5,4.0,1.0
2022-04-26,7,6.0,1.0
2022-04-27,2,1.0,1.0
2022-04-28,2,1.0,1.0
2022-04-29,2,1.0,1.0
2022-04-30,4,0.0,4.0
2022-05-01,4,1.0,3.0
2022-05-02,6,4.0,2.0
2022-05-03,3,2.0,1.0
2022-05-04,2,1.0,1.0
2022-05-06,10,6.0,4.0
2022-05-07,2,2.0,0.0
2022-05-08,3,1.0,2.0
2022-05-09,4,2.0,2.0
2022-05-10,3,1.0,2.0
2022-05-11,11,3.0,8.0
2022-05-12,9,5.0,4.0
2022-05-13,6,3.0,3.0
2022-05-14,4,2.0,2.0
2022-05-15,5,3.0,2.0
2022-05-16,21,16.0,5.0
2022-05-17,14,13.0,1.0
2022-05-18,7,7.0,0.0
2022-05-19,8,5.0,3.0
2022-05-20,5,1.0,4.0
2022-05-21,2,2.0,0.0
2022-05-22,1,0.0,1.0
2022-05-23,7,5.0,2.0
2022-05-24,9,7.0,2.0
2022-05-25,4,2.0,2.0
2022-05-26,8,3.0,5.0
2022-05-27,4,2.0,2.0
2022-05-28,3,1.0,2.0
2022-05-29,3,1.0,2.0
2022-05-30,4,0.0,4.0
2022-05-31,7,1.0,6.0
2022-06-01,1,0.0,1.0
2022-06-02,1,0.0,1.0
2022-06-03,4,2.0,2.0
2022-06-04,1,1.0,0.0
2022-06-05,2,0.0,2.0
2022-06-06,2,1.0,1.0
2022-06-07,3,2.0,1.0
2022-06-08,1,0.0,1.0
2022-06-09,1,0.0,1.0
2022-06-11,3,1.0,2.0
2022-06-14,2,2.0,0.0
2022-06-15,3,2.0,1.0
2022-06-16,2,2.0,0.0
2022-06-17,1,1.0,0.0
2022-06-18,1,1.0,0.0
2022-06-19,1,1.0,0.0
2022-06-20,1,0.0,1.0
2022-06-21,1,0.0,1.0
2022-06-22,1,0.0,1.0
2022-06-23,3,2.0,1.0
2022-06-24,4,2.0,2.0
2022-06-27,3,3.0,0.0
2022-06-28,1,1.0,0.0
2022-06-29,12,11.0,1.0
2022-06-30,20,17.0,3.0
2022-07-01,5,4.0,1.0
2022-07-02,9,7.0,2.0
2022-07-03,5,2.0,3.0
2022-07-04,10,4.0,6.0
2022-07-05,15,8.0,7.0
2022-07-06,11,7.0,4.0
2022-07-07,11,7.0,4.0
2022-07-08,11,5.0,6.0
2022-07-09,13,9.0,4.0
2022-07-10,7,3.0,4.0
2022-07-11,32,17.0,15.0
2022-07-12,36,10.0,26.0
2022-07-13,35,14.0,21.0
2022-07-14,34,17.0,17.0
2022-07-15,25,17.0,8.0
2022-07-16,13,8.0,5.0
2022-07-17,6,3.0,3.0
2022-07-18,9,3.0,6.0
2022-07-19,31,19.0,12.0
2022-07-20,47,27.0,20.0
2022-07-21,44,25.0,19.0
2022-07-22,33,12.0,21.0
2022-07-23,24,10.0,14.0
2022-07-24,14,3.0,11.0
2022-07-25,36,9.0,27.0
2022-07-26,45,21.0,24.0
2022-07-27,32,17.0,15.0
2022-07-28,28,9.0,19.0
2022-07-29,17,9.0,8.0
2022-07-30,15,5.0,10.0
2022-07-31,2,0.0,2.0
2022-08-01,26,14.0,12.0
2022-08-02,19,8.0,11.0
2022-08-03,19,10.0,9.0
2022-08-04,17,6.0,11.0
2022-08-05,6,3.0,3.0
